Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n MCU 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",120.000000,-117.000000,0.000000,top
"C2","1n HF 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",125.000000,-117.000000,0.000000,top
"C3","10u BULK 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",144.500000,-121.000000,90.000000,top
"J1","CHAIN_RING","PinHeader_2x03_P2.54mm_Vertical_SMD",105.400000,-108.120000,0.000000,top
"J3","STEPPER_DRIVER_IN","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",104.000000,-141.500000,0.000000,top
"J4","HOME_SENSOR","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",123.000000,-141.500000,0.000000,top
"J5","UPDI_2X3","PinHeader_2x03_P2.54mm_Vertical_SMD",141.800000,-108.120000,0.000000,top
"JP1","0R CHAIN power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",115.000000,-105.000000,0.000000,top
"JP2","0R UPDI power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.000000,-105.000000,0.000000,top
"JP3","0R HOME power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-135.000000,0.000000,top
"JP4","0R MCU power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",116.000000,-120.000000,90.000000,top
"JP5","INSULATED CLOCK LINK 22.3mm","WireLink_22.3mm_SMD",121.250000,-117.250000,-34.000000,top
"JP6","0R LATCH bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.000000,-121.000000,90.000000,top
"JP7","INSULATED DATA_IN LINK 25.6mm","WireLink_25.6mm_SMD",120.750000,-121.000000,-23.000000,top
"JP8","INSULATED DATA_OUT LINK 23.5mm","WireLink_23.5mm_SMD",120.500000,-119.500000,177.600000,top
"JP9","0R MCU ground bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.000000,-136.000000,0.000000,top
"JP10","INSULATED UPDI LINK 16.6mm","WireLink_16.6mm_SMD",134.750000,-120.150000,-121.000000,top
"JP11","INSULATED GND LINK 29.7mm","WireLink_29.7mm_SMD",115.000000,-127.000000,-70.300000,top
"JP12","INSULATED MOTOR3 LINK 23.5mm","WireLink_23.5mm_SMD",109.650000,-135.035000,-139.000000,top
"JP13","INSULATED MCU POWER LINK 17.7mm","WireLink_17.7mm_SMD",120.500000,-131.000000,137.300000,top
"JP14","INSULATED MOTOR1 LINK 30.3mm","WireLink_30.3mm_SMD",115.250000,-134.345000,-167.200000,top
"JP15","INSULATED MOTOR2 LINK 24.5mm","WireLink_24.5mm_SMD",119.500000,-137.750000,-159.700000,top
"JP16","INSULATED MAIN POWER LINK 27.0mm","WireLink_27.0mm_SMD",124.500000,-118.500000,-90.000000,top
"R1","10k UPDI pull-up 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.000000,-116.000000,0.000000,top
"R2","10k HOME pull-up 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",115.000000,-134.000000,0.000000,top
"U1","ATtiny1624-SSU","SOIC-14_3.9x8.7mm_P1.27mm",124.000000,-126.000000,0.000000,top
