"Refs","Value","Footprint","Qty"
"C1","100n MCU 1206","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1"
"C2","1n HF 1206","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1"
"C3","10u BULK 1206","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1"
"J1","CHAIN_RING","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1"
"J3","STEPPER_DRIVER_IN","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left","1"
"J4","HOME_SENSOR","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left","1"
"J5","UPDI_2X3","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1"
"JP1","0R CHAIN power bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP2","0R UPDI power bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP3","0R HOME power bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP4","0R MCU power bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP5","INSULATED CLOCK LINK 22.3mm","Alphabets:WireLink_22.3mm_SMD","1"
"JP6","0R LATCH bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP7","INSULATED DATA_IN LINK 25.6mm","Alphabets:WireLink_25.6mm_SMD","1"
"JP8","INSULATED DATA_OUT LINK 23.5mm","Alphabets:WireLink_23.5mm_SMD","1"
"JP9","0R MCU ground bridge 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"JP10","INSULATED UPDI LINK 16.6mm","Alphabets:WireLink_16.6mm_SMD","1"
"JP11","INSULATED GND LINK 29.7mm","Alphabets:WireLink_29.7mm_SMD","1"
"JP12","INSULATED MOTOR3 LINK 23.5mm","Alphabets:WireLink_23.5mm_SMD","1"
"JP13","INSULATED MCU POWER LINK 17.7mm","Alphabets:WireLink_17.7mm_SMD","1"
"JP14","INSULATED MOTOR1 LINK 30.3mm","Alphabets:WireLink_30.3mm_SMD","1"
"JP15","INSULATED MOTOR2 LINK 24.5mm","Alphabets:WireLink_24.5mm_SMD","1"
"JP16","INSULATED MAIN POWER LINK 27.0mm","Alphabets:WireLink_27.0mm_SMD","1"
"R1","10k UPDI pull-up 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R2","10k HOME pull-up 1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"U1","ATtiny1624-SSU","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1"
